QQQ 策略参数优化报告,生成时间: 2025-04-30 22:47:32,
,,
参数名称,原始值,优化后值,变化
atr_multiplier,2.0,2.0,+0.00
atr_period,14,14,+0.00
enable_short,True,True,+0.00
kdj_overbought,80,80,+0.00
kdj_oversold,20,20,+0.00
long_atr_multiplier,3.0,3.0,+0.00
long_max_loss_pct,3.0,3.0,+0.00
long_min_profit_pct,1.2,1.2,+0.00
magic_count,4,4,+0.00
magic_period,2,2,+0.00
market_aware,True,True,+0.00
max_loss_pct,2.5,2.5,+0.00
min_profit_pct,1.0,1.0,+0.00
position_pct,0.95,0.95,+0.00
position_size,0.95,0.95,+0.00
profit_target_pct,2.5,2.5,+0.00
risk_aversion,1.0,1.0,+0.00
rsi_overbought,70,70,+0.00
rsi_oversold,30,30,+0.00
rsi_period,14,14,+0.00
short_atr_multiplier,2.5,2.5,+0.00
short_max_loss_pct,3.5,3.5,+0.00
short_min_profit_pct,1.2,1.2,+0.00
short_volatility_factor,1.1,1.1,+0.00
stop_loss_pct,1.0,1.0,+0.00
strategy_type,smart_stoploss,smart_stoploss,
time_decay,True,True,+0.00
time_decay_days,3,3,+0.00
trailing_pct,1.2,1.2,+0.00
trailing_stop,True,True,+0.00
volatility_adjust,True,True,+0.00
,,
性能指标,优化后值,原始值,改进
总收益率,0,0,+0.00
胜率,0,0,+0.00
夏普比率,0,0,+0.00
最大回撤,1.0,1.0,+0.00
盈利因子,0,0,+0.00
,,
拟合风险评估,,
过拟合风险评估,低,
参数数量,31,参数过多可能增加过拟合风险
,,
建议,,
参数评估,需要改进,参数未达到目标要求
